Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
10.29371266,2.093017213,10.10618888,1.652798809,7.756547295,1.343777428,8.420220344,1.390396058
10.39624654,2.149391207,10.19851861,1.709164099,7.848877021,1.400142719,8.522754227,1.446770051
10.50925311,2.236475886,10.29093784,1.775763385,7.951321394,1.446282718,8.615128708,1.508252339
10.62217017,2.31332657,10.39356124,1.842371373,8.06410419,1.507782411,8.707458434,1.56461763
10.72479357,2.379934558,10.48598047,1.908970658,8.156433915,1.564147702,8.810081827,1.631225618
10.8172128,2.446533844,10.58860387,1.975578646,8.258878289,1.610287701,8.902411553,1.687590909
10.90963204,2.513133129,10.68111261,2.052411926,8.351208014,1.666652992,8.994741278,1.7439562
11.01225543,2.579741117,10.77362136,2.129245206,8.443582495,1.72813528,9.097364672,1.810564187
11.10476418,2.656574397,10.87633426,2.206087188,8.546116378,1.784509273,9.189783908,1.877163473
11.19718341,2.723173682,10.9687535,2.272686473,8.638446104,1.840874564,9.292452056,1.948888458
11.29980681,2.78978167,11.06135175,2.359753748,8.730775829,1.897239855,9.384916047,2.020604741
11.39231555,2.86661495,11.16406466,2.43659573,8.833309713,1.953613848,9.477380038,2.092321023
11.48473479,2.933214235,11.25666291,2.523663004,8.925594683,2.004862142,9.580003431,2.158929011
11.59774136,3.020298914,11.34921641,2.605613281,9.018013919,2.071461427,9.672512177,2.235762291
11.70045426,3.097140896,11.45210834,2.702923253,9.120547802,2.127835421,9.765020923,2.312595571
12.00850346,3.317432849,11.5447961,2.800224521,9.212967038,2.194434706,9.867778582,2.39455455
,,11.63743911,2.892408793,9.305386274,2.261033991,9.960287328,2.47138783
,,11.74033104,2.989718764,9.408009667,2.327641979,10.11469235,2.625028283
,,12.00850346,3.317432849,9.520926728,2.404492664,10.2072906,2.712095557
,,,,9.674928951,2.512080141,10.29997837,2.809396826
,,,,9.787935523,2.599164821,10.40282554,2.9015898
,,,,9.880354759,2.665764106,10.4955133,2.998891069
,,,,9.983067662,2.742606088,10.67055041,3.178133912
,,,,10.0754869,2.809205374,10.73271522,3.285643068
,,,,10.16799564,2.886038653,,
,,,,10.27061904,2.952646641,,
,,,,10.36312778,3.029479921,,
,,,,10.45554702,3.096079207,,
,,,,10.74291937,3.285651771,,
